epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,534.683,0.82151,1.32247,1.02441,0.88214,0.81942,0.88194,0.6726,0.83371,1.25276,0.98687,0.0006625,0.0006625,0.0006625
2,1040.57,0.86413,0.91946,1.03353,0.85547,0.68981,0.81034,0.6016,0.91914,1.32229,1.06218,0.00130285,0.00130285,0.00130285
3,1550.1,0.85273,0.76403,1.04478,0.81172,0.78561,0.81866,0.45778,1.43536,1.10719,1.25622,0.0019168,0.0019168,0.0019168
4,2086.95,0.85673,0.67458,1.04592,0.87615,0.81799,0.8844,0.68142,0.8513,0.68276,1.01671,0.0018812,0.0018812,0.0018812
5,2659.89,0.80813,0.61331,1.02302,0.89662,0.84532,0.88894,0.68519,0.80726,0.7128,0.9838,0.0018416,0.0018416,0.0018416
6,3219.52,0.79181,0.60185,1.02492,0.91614,0.86547,0.90819,0.71371,0.81693,0.54575,0.98416,0.001802,0.001802,0.001802
7,3733.09,0.76264,0.56557,1.01096,0.9196,0.86403,0.9138,0.69815,0.88278,0.55429,1.0099,0.0017624,0.0017624,0.0017624
8,4212.46,0.75449,0.53632,1.01357,0.90958,0.88291,0.91677,0.73597,0.76747,0.52618,0.97476,0.0017228,0.0017228,0.0017228
9,4728.38,0.72713,0.5171,0.99796,0.91089,0.88982,0.91599,0.74095,0.70453,0.51152,0.94231,0.0016832,0.0016832,0.0016832
10,5256.65,0.73409,0.51605,0.99549,0.92862,0.86109,0.92182,0.74885,0.72758,0.4844,0.95214,0.0016436,0.0016436,0.0016436
11,5778.65,0.70822,0.49068,0.99001,0.94244,0.88561,0.9269,0.70723,0.87672,0.48338,0.98232,0.001604,0.001604,0.001604
12,6318.09,0.70063,0.48085,0.98792,0.93133,0.88273,0.93254,0.76039,0.75451,0.46917,0.95517,0.0015644,0.0015644,0.0015644
13,6840.03,0.7026,0.47252,0.99266,0.94512,0.89208,0.94032,0.78115,0.70013,0.41871,0.94066,0.0015248,0.0015248,0.0015248
14,7355.7,0.69667,0.46614,0.98587,0.93198,0.89209,0.92433,0.77771,0.68292,0.42241,0.93381,0.0014852,0.0014852,0.0014852
15,7881.05,0.68985,0.46361,0.98623,0.93795,0.89168,0.93553,0.77485,0.68251,0.43585,0.94725,0.0014456,0.0014456,0.0014456
16,8405.53,0.68952,0.46105,0.98536,0.91798,0.8938,0.93029,0.77631,0.68192,0.4522,0.93718,0.001406,0.001406,0.001406
17,8937.7,0.67032,0.44613,0.97503,0.95181,0.89856,0.93766,0.78854,0.6675,0.4124,0.93301,0.0013664,0.0013664,0.0013664
18,9520.02,0.63955,0.43157,0.96314,0.93759,0.88201,0.92962,0.72286,0.78441,0.46267,0.973,0.0013268,0.0013268,0.0013268
19,10104.2,0.65023,0.42435,0.96753,0.94535,0.90719,0.94651,0.80164,0.65472,0.38584,0.91764,0.0012872,0.0012872,0.0012872
20,10688.2,0.65231,0.41571,0.97029,0.94882,0.92035,0.94913,0.80086,0.6383,0.38915,0.92124,0.0012476,0.0012476,0.0012476
21,11262.8,0.63487,0.40868,0.96464,0.95035,0.90576,0.94432,0.7991,0.64447,0.38301,0.92884,0.001208,0.001208,0.001208
22,11818.5,0.6282,0.39988,0.95765,0.94415,0.91511,0.94306,0.80717,0.64158,0.36575,0.9139,0.0011684,0.0011684,0.0011684
23,12358.5,0.61725,0.39425,0.94793,0.95701,0.91079,0.94747,0.79363,0.67841,0.3841,0.91832,0.0011288,0.0011288,0.0011288
24,25361.2,0.61912,0.39044,0.95073,0.94678,0.92143,0.9501,0.81868,0.61667,0.35514,0.9035,0.0010892,0.0010892,0.0010892
